股票代码,公司名称,报表,项目,报告期,金额
688596,正帆科技,balance_yearly,总资产,2017-12-31 00:00:00,1136079125.66
688596,正帆科技,balance_yearly,短期借款,2017-12-31 00:00:00,115606840.0
688596,正帆科技,balance_yearly,应付票据及应付账款,2017-12-31 00:00:00,245607829.86
688596,正帆科技,balance_yearly,应付账款,2017-12-31 00:00:00,229686200.78
688596,正帆科技,balance_yearly,应付票据,2017-12-31 00:00:00,15921629.08
688596,正帆科技,balance_yearly,应付职工薪酬,2017-12-31 00:00:00,19451937.58
688596,正帆科技,balance_yearly,应付税费,2017-12-31 00:00:00,41474231.23
688596,正帆科技,balance_yearly,其他应付款,2017-12-31 00:00:00,4872648.86
688596,正帆科技,balance_yearly,流动负债,2017-12-31 00:00:00,616326377.88
688596,正帆科技,balance_yearly,长期应付款,2017-12-31 00:00:00,135921712.93
688596,正帆科技,balance_yearly,总负债,2017-12-31 00:00:00,767660118.51
688596,正帆科技,balance_yearly,实收资本,2017-12-31 00:00:00,149245049.0
688596,正帆科技,balance_yearly,少数股东权益,2017-12-31 00:00:00,12852770.17
688596,正帆科技,balance_yearly,合同负债,2018-12-31 00:00:00,383535026.04
688596,正帆科技,balance_yearly,应收票据及应收账款,2018-12-31 00:00:00,458423637.6
688596,正帆科技,balance_yearly,应收账款,2018-12-31 00:00:00,303169586.95
688596,正帆科技,balance_yearly,应收票据,2018-12-31 00:00:00,155254050.65
688596,正帆科技,balance_yearly,预付账款,2018-12-31 00:00:00,46569980.25
688596,正帆科技,balance_yearly,存货,2018-12-31 00:00:00,467943999.59
688596,正帆科技,balance_yearly,其他应收款,2018-12-31 00:00:00,13614402.71
688596,正帆科技,balance_yearly,流动资产,2018-12-31 00:00:00,1178126241.37
688596,正帆科技,balance_yearly,固定资产,2018-12-31 00:00:00,245975200.16
688596,正帆科技,balance_yearly,无形资产,2018-12-31 00:00:00,34429875.63
688596,正帆科技,balance_yearly,长期待摊费用,2018-12-31 00:00:00,456417.74
688596,正帆科技,balance_yearly,总资产,2018-12-31 00:00:00,1556509453.36
688596,正帆科技,balance_yearly,短期借款,2018-12-31 00:00:00,113347640.0
688596,正帆科技,balance_yearly,应付票据及应付账款,2018-12-31 00:00:00,379843047.75
688596,正帆科技,balance_yearly,应付账款,2018-12-31 00:00:00,379843047.75
688596,正帆科技,balance_yearly,应付职工薪酬,2018-12-31 00:00:00,27260425.3
688596,正帆科技,balance_yearly,应付税费,2018-12-31 00:00:00,53210815.09
688596,正帆科技,balance_yearly,其他应付款,2018-12-31 00:00:00,3945167.94
688596,正帆科技,balance_yearly,流动负债,2018-12-31 00:00:00,968642122.12
688596,正帆科技,balance_yearly,长期借款,2018-12-31 00:00:00,92500000.0
688596,正帆科技,balance_yearly,总负债,2018-12-31 00:00:00,1071839599.72
688596,正帆科技,balance_yearly,实收资本,2018-12-31 00:00:00,164128562.0
688596,正帆科技,balance_yearly,少数股东权益,2018-12-31 00:00:00,11727356.78
688596,正帆科技,balance_yearly,合同负债,2019-12-31 00:00:00,430636410.77
688596,正帆科技,balance_yearly,应收票据及应收账款,2019-12-31 00:00:00,447364847.14
688596,正帆科技,balance_yearly,应收账款,2019-12-31 00:00:00,346682707.29
688596,正帆科技,balance_yearly,应收票据,2019-12-31 00:00:00,100682139.85
688596,正帆科技,balance_yearly,预付账款,2019-12-31 00:00:00,36583530.39
688596,正帆科技,balance_yearly,存货,2019-12-31 00:00:00,471277412.84
688596,正帆科技,balance_yearly,其他应收款,2019-12-31 00:00:00,13325208.24
688596,正帆科技,balance_yearly,流动资产,2019-12-31 00:00:00,1291022788.78
688596,正帆科技,balance_yearly,固定资产,2019-12-31 00:00:00,350251200.42
688596,正帆科技,balance_yearly,无形资产,2019-12-31 00:00:00,33720844.56
688596,正帆科技,balance_yearly,长期待摊费用,2019-12-31 00:00:00,964040.3
688596,正帆科技,balance_yearly,总资产,2019-12-31 00:00:00,1695405068.74
